# Section Boundary Audit (amended definitions)
# Run ID: 20260811T194138Z
# Timestamp: 2026-08-11T19:41:40.183439+00:00
# Minimum half word count: 100
#
# Amended boundary definitions:
# 1. Press Release: Content delimited by === PRESS RELEASE === header.
# 2. Prepared Remarks: Within transcript, operator opening through Q&A transition.
#    Strict precedence: (a) FactSet QUESTION AND ANSWER SECTION header,
#    (b) natural-language transition phrase, (c) if neither: manual.
#    [Operator Instructions] NOT used as primary marker.
# 3. Guidance Passage: Untestable (mechanically infeasible).
# 4. Q&A: From transition marker through end of transcript block.
#
document_id,ticker,issuer,report_date,press_release,prepared_remarks,qa,transcript_split_marker,min_half_wordcount,doc_types_present,has_human_worksheet,notes,run_id
C_FQ1_2025,C,p2_citigroup,2025-04-15,available,absent,absent,none,,SUPPLEMENTAL INFORMATION; PRESS RELEASE; EARNINGS PRESENTATION,False,no transcript section,20260811T194138Z
C_FQ2_2025,C,p2_citigroup,2025-07-15,available,absent,absent,none,,SUPPLEMENTAL INFORMATION; PRESS RELEASE; EARNINGS PRESENTATION,False,no transcript section,20260811T194138Z
C_FQ3_2025,C,p2_citigroup,2025-10-14,available,absent,absent,none,,SUPPLEMENTAL INFORMATION; PRESS RELEASE; EARNINGS PRESENTATION; EARNINGS PRESENTATION,False,no transcript section,20260811T194138Z
C_FQ4_2025,C,p2_citigroup,2026-01-14,available,absent,absent,none,,SUPPLEMENTAL INFORMATION; PRESS RELEASE; EARNINGS PRESENTATION; EARNINGS PRESENTATION; SUPPLEMENTAL INFORMATION,False,no transcript section,20260811T194138Z
KO_FQ1_2026,KO,p2_coca_cola,2026-04-28,available,available,available,transition_phrase,3045,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
KO_FQ2_2025,KO,p2_coca_cola,2025-07-22,available,available,available,transition_phrase,3262,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
KO_FQ4_2025,KO,p2_coca_cola,2026-02-10,available,available,available,transition_phrase,3449,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
COIN_FQ1_2026,COIN,p2_coinbase,2026-05-07,absent,available,available,transition_phrase,2815,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260811T194138Z
COIN_FQ3_2025,COIN,p2_coinbase,2025-10-30,absent,available,available,transition_phrase,1664,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260811T194138Z
COIN_FQ4_2025,COIN,p2_coinbase,2026-02-12,absent,available,available,transition_phrase,2363,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260811T194138Z
LLY_FQ1_2026,LLY,p2_eli_lilly,2026-04-29,absent,manual,manual,none,,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,no Q&A transition marker found,20260811T194138Z
LLY_FQ3_2025,LLY,p2_eli_lilly,2025-10-29,absent,manual,manual,none,,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,no Q&A transition marker found,20260811T194138Z
LLY_FQ4_2025,LLY,p2_eli_lilly,2026-02-03,absent,manual,manual,none,,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,no Q&A transition marker found,20260811T194138Z
GS_FQ1_2025,GS,p2_goldman_sachs,2025-04-11,available,available,available,transition_phrase,2669,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
GS_FQ1_2026,GS,p2_goldman_sachs,2026-04-10,available,available,available,transition_phrase,3620,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
GS_FQ2_2025,GS,p2_goldman_sachs,2025-07-15,available,available,available,transition_phrase,3975,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
GS_FQ2_2026,GS,p2_goldman_sachs,2026-07-13,available,available,available,transition_phrase,3355,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
GS_FQ3_2025,GS,p2_goldman_sachs,2025-10-13,available,available,available,transition_phrase,2786,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
GS_FQ4_2025,GS,p2_goldman_sachs,2026-01-14,available,available,available,transition_phrase,5230,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
IBM_FQ1_2026,IBM,p2_ibm,2026-04-22,absent,available,available,transition_phrase,3731,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
IBM_FQ2_2025,IBM,p2_ibm,2025-07-23,absent,available,available,transition_phrase,3460,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
IBM_FQ4_2025,IBM,p2_ibm,2026-01-28,absent,available,available,transition_phrase,4590,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
LOW_FQ1_2025,LOW,p2_lowes,2026-05-21,available,available,available,transition_phrase,4195,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
LOW_FQ1_2026,LOW,p2_lowes,2026-05-20,available,available,available,transition_phrase,4099,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
LOW_FQ2_2025,LOW,p2_lowes,2025-08-20,available,available,available,transition_phrase,4678,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
LOW_FQ3_2025,LOW,p2_lowes,2025-11-19,available,available,available,transition_phrase,4601,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
LOW_FQ4_2025,LOW,p2_lowes,2026-02-25,available,available,available,transition_phrase,4782,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
LULU_FQ1_2026,LULU,p2_lululemon,2026-06-04,available,available,available,transition_phrase,1340,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
LULU_FQ3_2025,LULU,p2_lululemon,2025-12-11,available,available,available,transition_phrase,2001,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
LULU_FQ4_2025,LULU,p2_lululemon,2026-03-17,available,available,available,transition_phrase,1595,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
AMKBY_FQ1_2025,AMKBY,p2_maersk,2025-05-07,absent,available,available,transition_phrase,3706,EARNINGS DOCUMENT; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
AMKBY_FQ2_2025,AMKBY,p2_maersk,2025-08-07,absent,available,available,transition_phrase,3482,EARNINGS DOCUMENT; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
AMKBY_FQ3_2025,AMKBY,p2_maersk,2025-11-05,absent,available,available,transition_phrase,3760,EARNINGS DOCUMENT; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
AMKBY_FQ4_2025,AMKBY,p2_maersk,2026-02-05,available,available,available,transition_phrase,4582,EARNINGS PRESENTATION; PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
MCD_FQ1_2026,MCD,p2_mcdonalds,2026-05-07,absent,available,available,transition_phrase,3464,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,,20260811T194138Z
MCD_FQ4_2024,MCD,p2_mcdonalds,2025-02-10,absent,manual,manual,transition_phrase,58,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,"min-half wordcount 58 < 100 (prepared=58, qa=11024); marker was transition_phrase",20260811T194138Z
MCD_FQ4_2025,MCD,p2_mcdonalds,2026-02-11,absent,available,available,transition_phrase,4755,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
META_FQ1_2026,META,p2_meta,2026-04-29,absent,available,available,transition_phrase,3993,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260811T194138Z
META_FQ3_2025,META,p2_meta,2025-10-29,absent,available,available,transition_phrase,3938,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260811T194138Z
META_FQ4_2025,META,p2_meta,2026-01-28,absent,available,available,transition_phrase,4045,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260811T194138Z
NKE_FQ1_2025,NKE,p2_nike,2024-10-01,absent,available,available,transition_phrase,4013,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
NKE_FQ2_2025,NKE,p2_nike,2024-12-19,absent,manual,manual,transition_phrase,59,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,"min-half wordcount 59 < 100 (prepared=59, qa=10624); marker was transition_phrase",20260811T194138Z
NKE_FQ3_2025,NKE,p2_nike,2025-03-20,absent,manual,manual,transition_phrase,58,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,"min-half wordcount 58 < 100 (prepared=58, qa=10180); marker was transition_phrase",20260811T194138Z
NVDA_FQ1_2025,NVDA,p2_nvidia,2025-02-26,absent,available,available,transition_phrase,461,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,True,,20260811T194138Z
NVDA_FQ2_2025,NVDA,p2_nvidia,2025-05-28,absent,available,available,transition_phrase,4029,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,True,,20260811T194138Z
NVDA_FQ3_2025,NVDA,p2_nvidia,2025-08-27,absent,available,available,transition_phrase,3346,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,True,,20260811T194138Z
NVDA_FQ4_2025,NVDA,p2_nvidia,2025-11-19,absent,available,available,transition_phrase,4637,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,True,,20260811T194138Z
TSLA_FQ1_2026,TSLA,p2_tesla,2026-04-22,absent,available,available,transition_phrase,3113,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260811T194138Z
TSLA_FQ3_2025,TSLA,p2_tesla,2025-10-22,absent,available,available,transition_phrase,4525,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260811T194138Z
TSLA_FQ4_2025,TSLA,p2_tesla,2026-01-28,absent,available,available,transition_phrase,3738,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260811T194138Z
UBER_FQ1_2025,UBER,p2_uber,2025-05-06,available,available,available,factset_header,828,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
UBER_FQ1_2026,UBER,p2_uber,2026-05-05,available,available,available,factset_header,852,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
UBER_FQ2_2025,UBER,p2_uber,2025-08-05,available,available,available,factset_header,787,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
UBER_FQ4_2025,UBER,p2_uber,2026-02-03,available,available,available,factset_header,1281,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
WMT_FQ1_2025,WMT,p2_walmart,2025-05-14,absent,available,available,factset_header,4205,EARNINGS CALL TRANSCRIPT; EARNINGS PRESENTATION; EARNINGS DOCUMENT,False,,20260811T194138Z
WMT_FQ1_2026,WMT,p2_walmart,2026-05-20,absent,available,available,factset_header,3375,EARNINGS CALL TRANSCRIPT; EARNINGS PRESENTATION; EARNINGS DOCUMENT,False,,20260811T194138Z
WMT_FQ2_2025,WMT,p2_walmart,2025-08-20,absent,available,available,transition_phrase,326,EARNINGS CALL TRANSCRIPT; EARNINGS PRESENTATION; EARNINGS DOCUMENT,False,,20260811T194138Z
WMT_FQ3_2025,WMT,p2_walmart,2025-11-19,absent,available,available,factset_header,3928,EARNINGS CALL TRANSCRIPT; EARNINGS PRESENTATION; EARNINGS DOCUMENT,False,,20260811T194138Z
WMT_FQ4_2025,WMT,p2_walmart,2026-02-18,absent,available,available,factset_header,3262,EARNINGS CALL TRANSCRIPT; EARNINGS PRESENTATION; EARNINGS DOCUMENT,False,,20260811T194138Z
BAC_FQ1_2025,BAC,p2_bank_of_america,2025-04-15,available,absent,absent,none,,EARNINGS PRESENTATION; PRESS RELEASE; SUPPLEMENTAL INFORMATION,False,no transcript section,20260811T194138Z
BAC_FQ2_2025,BAC,p2_bank_of_america,2025-07-15,available,absent,absent,none,,EARNINGS PRESENTATION; PRESS RELEASE; SUPPLEMENTAL INFORMATION,False,no transcript section,20260811T194138Z
BAC_FQ3_2025,BAC,p2_bank_of_america,2025-10-14,available,absent,absent,none,,EARNINGS PRESENTATION; PRESS RELEASE; SUPPLEMENTAL INFORMATION,False,no transcript section,20260811T194138Z
BAC_FQ4_2025,BAC,p2_bank_of_america,2026-01-13,available,absent,absent,none,,EARNINGS PRESENTATION; PRESS RELEASE; SUPPLEMENTAL INFORMATION,False,no transcript section,20260811T194138Z
BA_FQ1_2025,BA,p2_boeing,2025-04-23,available,available,available,factset_header,3904,EARNINGS PRESENTATION; PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
BA_FQ2_2025,BA,p2_boeing,2025-07-29,available,absent,absent,none,,EARNINGS PRESENTATION; PRESS RELEASE,False,no transcript section,20260811T194138Z
BA_FQ3_2025,BA,p2_boeing,2025-10-29,available,absent,absent,none,,EARNINGS PRESENTATION; PRESS RELEASE,False,no transcript section,20260811T194138Z
BA_FQ4_2025,BA,p2_boeing,2026-01-26,available,available,available,transition_phrase,4124,EARNINGS DOCUMENT; EARNINGS PRESENTATION; PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
DIS_FQ1_2025,DIS,p2_disney,2025-02-05,available,manual,manual,transition_phrase,83,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,"min-half wordcount 83 < 100 (prepared=83, qa=6110); marker was transition_phrase",20260811T194138Z
DIS_FQ3_2025,DIS,p2_disney,2025-08-05,available,available,available,transition_phrase,378,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
DIS_FQ4_2025,DIS,p2_disney,2025-11-12,available,available,available,transition_phrase,380,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
JPM_FQ1_2025,JPM,p2_jpm,2025-04-10,absent,available,available,transition_phrase,1730,EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
JPM_FQ1_2026,JPM,p2_jpm,2026-04-14,available,available,available,transition_phrase,1312,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
JPM_FQ2_2025,JPM,p2_jpm,2025-07-15,absent,available,available,transition_phrase,1368,EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
JPM_FQ3_2025,JPM,p2_jpm,2025-10-14,absent,available,available,transition_phrase,1063,EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
JPM_FQ4_2025,JPM,p2_jpm,2026-01-13,absent,available,available,transition_phrase,1552,EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
NFLX_FQ1_2025,NFLX,p2_netflix,2025-04-17,absent,available,available,transition_phrase,128,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,,20260811T194138Z
NFLX_FQ1_2026,NFLX,p2_netflix,2026-04-16,absent,available,available,transition_phrase,208,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,,20260811T194138Z
NFLX_FQ2_2025,NFLX,p2_netflix,2025-07-17,absent,available,available,transition_phrase,123,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,,20260811T194138Z
NFLX_FQ3_2025,NFLX,p2_netflix,2025-10-21,absent,available,available,transition_phrase,154,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260811T194138Z
NFLX_FQ4_2024,NFLX,p2_netflix,2025-01-21,absent,available,available,transition_phrase,152,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260811T194138Z
NFLX_FQ4_2025,NFLX,p2_netflix,2026-01-20,absent,available,available,transition_phrase,206,EARNINGS DOCUMENT; EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260811T194138Z
TGT_FQ1_2025,TGT,p2_target,2025-05-21,available,available,available,transition_phrase,4262,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
TGT_FQ1_2026,TGT,p2_target,2026-05-20,available,available,available,transition_phrase,5302,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
TGT_FQ2_2025,TGT,p2_target,2025-08-20,available,available,available,transition_phrase,5507,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
TGT_FQ3_2025,TGT,p2_target,2025-11-19,available,available,available,transition_phrase,5638,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
BCS_FQ1_2026,BCS,p2_barclays,2026-04-28,available,available,available,transition_phrase,724,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
BCS_FQ2_2025,BCS,p2_barclays,2025-07-29,available,available,available,transition_phrase,685,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
BCS_FQ3_2025,BCS,p2_barclays,2025-10-22,available,available,available,transition_phrase,988,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
F_FQ1_2026,F,p2_ford,2026-04-29,available,available,available,transition_phrase,2377,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
F_FQ2_2025,F,p2_ford,2025-07-30,available,available,available,transition_phrase,276,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
F_FQ4_2025,F,p2_ford,2026-02-10,available,available,available,transition_phrase,3216,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
MSFT_FQ1_2025,MSFT,p2_microsoft,2024-10-30,absent,available,available,transition_phrase,458,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
MSFT_FQ1_2026,MSFT,p2_microsoft,2025-10-29,absent,available,available,transition_phrase,4786,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
MSFT_FQ2_2025,MSFT,p2_microsoft,2025-01-29,absent,available,available,transition_phrase,458,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
PFE_FQ1_2025,PFE,p2_pfizer,2025-04-28,available,available,available,transition_phrase,353,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
PFE_FQ1_2026,PFE,p2_pfizer,2026-05-04,available,available,available,transition_phrase,349,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
PFE_FQ2_2025,PFE,p2_pfizer,2025-08-04,available,available,available,transition_phrase,384,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
PFE_FQ4_2025,PFE,p2_pfizer,2026-02-02,available,available,available,transition_phrase,404,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260811T194138Z
UAL_FQ1_2025,UAL,p2_united_airlines,2025-04-15,absent,available,available,transition_phrase,3885,EARNINGS DOCUMENT; EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,,20260811T194138Z
UAL_FQ2_2025,UAL,p2_united_airlines,2025-07-16,absent,available,available,transition_phrase,4219,EARNINGS DOCUMENT; EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,,20260811T194138Z
UAL_FQ3_2025,UAL,p2_united_airlines,2025-10-15,absent,available,available,transition_phrase,316,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT; EARNINGS DOCUMENT,False,,20260811T194138Z
UAL_FQ4_2025,UAL,p2_united_airlines,2026-01-20,absent,available,available,transition_phrase,374,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,False,,20260811T194138Z
PEP_FQ1_2023,PEP,p2_pepsico,2023-04-25,available,available,available,transition_phrase,515,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
PEP_FQ1_2024,PEP,p2_pepsico,2024-04-23,available,absent,absent,none,,PRESS RELEASE,False,no transcript section,20260811T194138Z
PEP_FQ1_2025,PEP,p2_pepsico,2025-04-24,available,available,available,transition_phrase,526,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
PEP_FQ1_2026,PEP,p2_pepsico,2026-04-16,available,manual,manual,none,,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,no Q&A transition marker found,20260811T194138Z
PEP_FQ2_2023,PEP,p2_pepsico,2023-07-13,available,available,available,transition_phrase,542,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
PEP_FQ2_2024,PEP,p2_pepsico,2024-07-11,available,available,available,transition_phrase,521,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
PEP_FQ2_2025,PEP,p2_pepsico,2025-07-17,available,available,available,transition_phrase,501,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
PEP_FQ2_2026,PEP,p2_pepsico,2026-07-09,available,available,available,transition_phrase,1692,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
PEP_FQ3_2023,PEP,p2_pepsico,2023-10-10,available,available,available,transition_phrase,557,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
PEP_FQ3_2024,PEP,p2_pepsico,2024-10-08,available,available,available,transition_phrase,460,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
PEP_FQ3_2025,PEP,p2_pepsico,2025-10-09,available,manual,manual,none,,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,no Q&A transition marker found,20260811T194138Z
PEP_FQ4_2023,PEP,p2_pepsico,2024-02-09,available,available,available,transition_phrase,621,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
PEP_FQ4_2024,PEP,p2_pepsico,2025-02-04,available,available,available,transition_phrase,460,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
PEP_FQ4_2025,PEP,p2_pepsico,2026-02-03,available,available,available,transition_phrase,497,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
FDX_FQ1_2026,FDX,p2_fedex,2025-09-18,available,available,available,factset_header,3905,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
FDX_FQ2_2026,FDX,p2_fedex,2025-12-18,available,available,available,factset_header,4121,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
FDX_FQ3_2026,FDX,p2_fedex,2026-03-19,available,available,available,factset_header,4040,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
FDX_FQ4_2026,FDX,p2_fedex,2026-06-23,available,available,available,factset_header,4042,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
LMT_FQ1_2025,LMT,p2_lockheed_martin,2025-04-22,available,available,available,transition_phrase,3621,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,False,,20260811T194138Z
