# sector_analysis_2026-08-15.csv
# Generated: 2026-08-15
# TAXONOMY DECISION (2026-08-15): canonical taxonomy = SECTORS dict in phase2/build_manifests.py
# Divergent events (old classification per sector_breakdown_three_sets.csv -> new per SECTORS dict):
# CVS_FQ1_2026 (ticker: CVS): Consumer -> Healthcare (sector_breakdown_three_sets.csv placed CVS in Consumer; SECTORS dict places p2_cvs_health as Healthcare/Consumer, classified Healthcare by this analysis)
# CVS_FQ2_2025 (ticker: CVS): Consumer -> Healthcare (same as above)
# CVS_FQ3_2025 (ticker: CVS): Consumer -> Healthcare (same as above)
# CVS_FQ4_2025 (ticker: CVS): Consumer -> Healthcare (same as above)
# These 4 events account for the entire Consumer -4 / Healthcare +4 discrepancy between the two files.
# No other sector-level divergences exist: Technology, Financials, Industrials, Communication Services, and Materials all agree on n across both files (Set A).
# Note on LMT: sector_breakdown_three_sets.csv lists LMT in its Healthcare notes text, but the actual n=14 count for Healthcare in that file is consistent with LMT being counted in Industrials (n=26, same as new analysis). The notes text listing LMT under Healthcare is a copy-paste error in sector_breakdown_three_sets.csv; the counts themselves are correct. LMT is in Industrials in both files.
# sector_breakdown_three_sets.csv has not been modified; see sector_analysis_2026-08-15.md for full decision record.
# Source files:
#   - outputs/global/summary/global_outcome_calibration_phase2.csv (Set A: N=233 clean phase2 events)
#   - outputs/global/summary/global_outcome_calibration_extension_2026_08_13.csv (Set B: N=93 extension events)
#   - outputs/global/summary/finbert_extension_results.csv (FinBERT scores for Set B)
#   - outputs/global/summary/returns_matrix.csv (overnight returns, timing_excluded flag)
#   - phase2/build_manifests.py SECTORS dict (sector taxonomy source for Set A)
#   - outputs/global/summary/sector_breakdown_three_sets.csv (sector taxonomy source for Set B)
# Sector taxonomy: broad categories collapsed from SECTORS dict in phase2/build_manifests.py
#   (Note: LMT placed in Industrials per SECTORS dict; sector_breakdown_three_sets.csv placed it in Healthcare)
# Suppression threshold: n < 10 events (for Spearman rho and BUY/SELL accuracy columns; NOT applied to means)
# Arm definitions:
#   LLM: blended sentiment score = 0.55*micro_score + 0.45*macro_score (renormalized if macro missing)
#        deployed default weights from blend.py DEFAULT_WEIGHTS = (0.55, 0.45, 0.0, 0.0)
#        signal from blend_predicted_signal_default (hold_upper=0.25, hold_lower=-0.05)
#   FinBERT: raw FinBERT sentiment score from finbert_extension_results.csv (Set B only)
#            signal from finbert_predicted_signal (thresholds from phase2 dev, frozen for eval)
# Event sets:
#   Set A: N=233 clean phase2 events (268 scored, 35 excluded: 25 worksheet contamination + 1 SPOT misattribution + 9 timing)
#   Set B: N=93 extension events (pure eval; thresholds frozen from Set A dev split)
# Return used: ret_overnight = raw overnight gap (prior_close -> next_day_open), from returns_matrix.csv
# Grading band: |ret_overnight| > 2% (pre-registered)
# Pooled reference: Set A Spearman rho = 0.2360, p = 0.0002, n = 233 (source: ext2_holding_curve.csv)
#                   Set B Spearman rho = 0.2715, p = 0.0085, n = 93 (source: results_three_sets.csv)
# Cut definitions:
#   spearman_rho: Spearman rank correlation between continuous arm score and ret_overnight
#   calibration: mean(score) and mean(ret_overnight) per sector — systematic bias check
#   dispersion: population std of score, plus HOLD rate (fraction with signal==HOLD)
#   sell_buy_asymmetry: accuracy on BUY/SELL calls separately (n_correct/n_calls); base_rate = fraction of events with that outcome
# IMPORTANT: all figures are PURELY DESCRIPTIVE. No significance claims are made. Per-sector n is too small for inference.
sector,event_set,arm,cut,metric,n,value,suppressed,notes
Consumer,Set B,LLM,sell_buy_asymmetry,buy_n_calls,1,1,False,
Consumer,Set B,LLM,sell_buy_asymmetry,buy_base_rate,26,0.230769,False,
Consumer,Set B,LLM,sell_buy_asymmetry,sell_accuracy,9,,True,n_calls=9 < 10
Consumer,Set B,LLM,sell_buy_asymmetry,sell_n_calls,9,9,False,
Consumer,Set B,LLM,sell_buy_asymmetry,sell_base_rate,26,0.192308,False,
Consumer,Set B,FinBERT,sell_buy_asymmetry,buy_accuracy,15,0.2,False,
Consumer,Set B,FinBERT,sell_buy_asymmetry,buy_n_calls,15,15,False,
Consumer,Set B,FinBERT,sell_buy_asymmetry,buy_base_rate,26,0.230769,False,
Consumer,Set B,FinBERT,sell_buy_asymmetry,sell_accuracy,1,,True,n_calls=1 < 10
Consumer,Set B,FinBERT,sell_buy_asymmetry,sell_n_calls,1,1,False,
Consumer,Set B,FinBERT,sell_buy_asymmetry,sell_base_rate,26,0.192308,False,
Energy,Set B,LLM,spearman_rho,rho,21,0.237374,False,
Energy,Set B,LLM,spearman_rho,p_value,21,0.286817,False,
Energy,Set B,LLM,spearman_rho,n,21,21,False,
Energy,Set B,FinBERT,spearman_rho,rho,21,-0.11039,False,
Energy,Set B,FinBERT,spearman_rho,p_value,21,0.628289,False,
Energy,Set B,FinBERT,spearman_rho,n,21,21,False,
Energy,Set B,LLM,calibration,mean_score,21,0.180357,False,
Energy,Set B,LLM,calibration,mean_ret,21,0.00141429,False,
Energy,Set B,LLM,calibration,n,21,21,False,
Energy,Set B,FinBERT,calibration,mean_score,21,0.130565,False,
Energy,Set B,FinBERT,calibration,mean_ret,21,0.00141429,False,
Energy,Set B,FinBERT,calibration,n,21,21,False,
Energy,Set B,LLM,dispersion,score_std,21,0.102555,False,population std
Energy,Set B,LLM,dispersion,hold_rate,21,0.857143,False,
Energy,Set B,LLM,dispersion,n,21,21,False,
Energy,Set B,FinBERT,dispersion,score_std,21,0.0499634,False,population std
Energy,Set B,FinBERT,dispersion,hold_rate,21,0.190476,False,
Energy,Set B,FinBERT,dispersion,n,21,21,False,
Energy,Set B,LLM,sell_buy_asymmetry,buy_accuracy,3,,True,n_calls=3 < 10
Energy,Set B,LLM,sell_buy_asymmetry,buy_n_calls,3,3,False,
Energy,Set B,LLM,sell_buy_asymmetry,buy_base_rate,21,0.047619,False,
Energy,Set B,LLM,sell_buy_asymmetry,sell_accuracy,0,,True,n_calls=0 < 10
Energy,Set B,LLM,sell_buy_asymmetry,sell_n_calls,0,0,False,
Energy,Set B,LLM,sell_buy_asymmetry,sell_base_rate,21,0,False,
Energy,Set B,FinBERT,sell_buy_asymmetry,buy_accuracy,17,0.0588235,False,
Energy,Set B,FinBERT,sell_buy_asymmetry,buy_n_calls,17,17,False,
Energy,Set B,FinBERT,sell_buy_asymmetry,buy_base_rate,21,0.047619,False,
Energy,Set B,FinBERT,sell_buy_asymmetry,sell_accuracy,0,,True,n_calls=0 < 10
Energy,Set B,FinBERT,sell_buy_asymmetry,sell_n_calls,0,0,False,
Energy,Set B,FinBERT,sell_buy_asymmetry,sell_base_rate,21,0,False,
Financials,Set A,LLM,spearman_rho,rho,49,0.132642,False,
Financials,Set A,LLM,spearman_rho,p_value,49,0.358905,False,
Financials,Set A,LLM,spearman_rho,n,49,49,False,
Financials,Set A,LLM,calibration,mean_score,49,0.133214,False,
Financials,Set A,LLM,calibration,mean_ret,49,8.62041e-05,False,
Financials,Set A,LLM,calibration,n,49,49,False,
Financials,Set A,LLM,dispersion,score_std,49,0.184477,False,population std
Financials,Set A,LLM,dispersion,hold_rate,49,0.428571,False,
Financials,Set A,LLM,dispersion,n,49,49,False,
Financials,Set A,LLM,sell_buy_asymmetry,buy_accuracy,15,0.2,False,
Financials,Set A,LLM,sell_buy_asymmetry,buy_n_calls,15,15,False,
Financials,Set A,LLM,sell_buy_asymmetry,buy_base_rate,49,0.244898,False,
Financials,Set A,LLM,sell_buy_asymmetry,sell_accuracy,13,0.384615,False,
Financials,Set A,LLM,sell_buy_asymmetry,sell_n_calls,13,13,False,
Financials,Set A,LLM,sell_buy_asymmetry,sell_base_rate,49,0.204082,False,
Financials,Set B,LLM,spearman_rho,rho,8,,True,n=8 < 10
Financials,Set B,LLM,spearman_rho,p_value,8,,True,n=8 < 10
Financials,Set B,LLM,spearman_rho,n,8,8,False,
Financials,Set B,FinBERT,spearman_rho,rho,8,,True,n=8 < 10
Financials,Set B,FinBERT,spearman_rho,p_value,8,,True,n=8 < 10
Financials,Set B,FinBERT,spearman_rho,n,8,8,False,
Financials,Set B,LLM,calibration,mean_score,8,0.180313,False,
Financials,Set B,LLM,calibration,mean_ret,8,-0.000275,False,
Financials,Set B,LLM,calibration,n,8,8,False,
Financials,Set B,FinBERT,calibration,mean_score,8,0.279725,False,
Financials,Set B,FinBERT,calibration,mean_ret,8,-0.000275,False,
Financials,Set B,FinBERT,calibration,n,8,8,False,
Financials,Set B,LLM,dispersion,score_std,8,0.154543,False,population std
Financials,Set B,LLM,dispersion,hold_rate,8,0.625,False,
Financials,Set B,LLM,dispersion,n,8,8,False,
Financials,Set B,FinBERT,dispersion,score_std,8,0.0777524,False,population std
Financials,Set B,FinBERT,dispersion,hold_rate,8,0,False,
Financials,Set B,FinBERT,dispersion,n,8,8,False,
Financials,Set B,LLM,sell_buy_asymmetry,buy_accuracy,2,,True,n_calls=2 < 10
Financials,Set B,LLM,sell_buy_asymmetry,buy_n_calls,2,2,False,
Financials,Set B,LLM,sell_buy_asymmetry,buy_base_rate,8,0.125,False,
Financials,Set B,LLM,sell_buy_asymmetry,sell_accuracy,1,,True,n_calls=1 < 10
Financials,Set B,LLM,sell_buy_asymmetry,sell_n_calls,1,1,False,
Financials,Set B,LLM,sell_buy_asymmetry,sell_base_rate,8,0.125,False,
Financials,Set B,FinBERT,sell_buy_asymmetry,buy_accuracy,8,,True,n_calls=8 < 10
Financials,Set B,FinBERT,sell_buy_asymmetry,buy_n_calls,8,8,False,
Financials,Set B,FinBERT,sell_buy_asymmetry,buy_base_rate,8,0.125,False,
Financials,Set B,FinBERT,sell_buy_asymmetry,sell_accuracy,0,,True,n_calls=0 < 10
Financials,Set B,FinBERT,sell_buy_asymmetry,sell_n_calls,0,0,False,
Financials,Set B,FinBERT,sell_buy_asymmetry,sell_base_rate,8,0.125,False,
Healthcare,Set A,LLM,spearman_rho,rho,18,0.422303,False,
Healthcare,Set A,LLM,spearman_rho,p_value,18,0.0623871,False,
Healthcare,Set A,LLM,spearman_rho,n,18,18,False,
Healthcare,Set A,LLM,calibration,mean_score,18,0.0422222,False,
Healthcare,Set A,LLM,calibration,mean_ret,18,-0.00408367,False,
Healthcare,Set A,LLM,calibration,n,18,18,False,
Healthcare,Set A,LLM,dispersion,score_std,18,0.237424,False,population std
Healthcare,Set A,LLM,dispersion,hold_rate,18,0.388889,False,
Healthcare,Set A,LLM,dispersion,n,18,18,False,
Healthcare,Set A,LLM,sell_buy_asymmetry,buy_accuracy,4,,True,n_calls=4 < 10
Healthcare,Set A,LLM,sell_buy_asymmetry,buy_n_calls,4,4,False,
Healthcare,Set A,LLM,sell_buy_asymmetry,buy_base_rate,18,0.333333,False,
Healthcare,Set A,LLM,sell_buy_asymmetry,sell_accuracy,7,,True,n_calls=7 < 10
Healthcare,Set A,LLM,sell_buy_asymmetry,sell_n_calls,7,7,False,
Healthcare,Set A,LLM,sell_buy_asymmetry,sell_base_rate,18,0.333333,False,
Industrials,Set A,LLM,spearman_rho,rho,26,0.0130093,False,
Industrials,Set A,LLM,spearman_rho,p_value,26,0.949179,False,
Industrials,Set A,LLM,spearman_rho,n,26,26,False,
Industrials,Set A,LLM,calibration,mean_score,26,0.1425,False,
Industrials,Set A,LLM,calibration,mean_ret,26,0.0134156,False,
Industrials,Set A,LLM,calibration,n,26,26,False,
Industrials,Set A,LLM,dispersion,score_std,26,0.234872,False,population std
Industrials,Set A,LLM,dispersion,hold_rate,26,0.346154,False,
Industrials,Set A,LLM,dispersion,n,26,26,False,
Industrials,Set A,LLM,sell_buy_asymmetry,buy_accuracy,11,0.545455,False,
Industrials,Set A,LLM,sell_buy_asymmetry,buy_n_calls,11,11,False,
Industrials,Set A,LLM,sell_buy_asymmetry,buy_base_rate,26,0.423077,False,
Industrials,Set A,LLM,sell_buy_asymmetry,sell_accuracy,6,,True,n_calls=6 < 10
Industrials,Set A,LLM,sell_buy_asymmetry,sell_n_calls,6,6,False,
Industrials,Set A,LLM,sell_buy_asymmetry,sell_base_rate,26,0.230769,False,
Industrials,Set B,LLM,spearman_rho,rho,4,,True,n=4 < 10
Industrials,Set B,LLM,spearman_rho,p_value,4,,True,n=4 < 10
Industrials,Set B,LLM,spearman_rho,n,4,4,False,
Industrials,Set B,FinBERT,spearman_rho,rho,4,,True,n=4 < 10
Industrials,Set B,FinBERT,spearman_rho,p_value,4,,True,n=4 < 10
Industrials,Set B,FinBERT,spearman_rho,n,4,4,False,
Industrials,Set B,LLM,calibration,mean_score,4,0.000625,False,
Industrials,Set B,LLM,calibration,mean_ret,4,0.000925,False,
Industrials,Set B,LLM,calibration,n,4,4,False,
Industrials,Set B,FinBERT,calibration,mean_score,4,0.190907,False,
Industrials,Set B,FinBERT,calibration,mean_ret,4,0.000925,False,
Industrials,Set B,FinBERT,calibration,n,4,4,False,
Industrials,Set B,LLM,dispersion,score_std,4,0.0511546,False,population std
Industrials,Set B,LLM,dispersion,hold_rate,4,0.75,False,
Industrials,Set B,LLM,dispersion,n,4,4,False,
Industrials,Set B,FinBERT,dispersion,score_std,4,0.0768881,False,population std
Industrials,Set B,FinBERT,dispersion,hold_rate,4,0,False,
Industrials,Set B,FinBERT,dispersion,n,4,4,False,
Industrials,Set B,LLM,sell_buy_asymmetry,buy_accuracy,0,,True,n_calls=0 < 10
Industrials,Set B,LLM,sell_buy_asymmetry,buy_n_calls,0,0,False,
Industrials,Set B,LLM,sell_buy_asymmetry,buy_base_rate,4,0,False,
Industrials,Set B,LLM,sell_buy_asymmetry,sell_accuracy,1,,True,n_calls=1 < 10
Industrials,Set B,LLM,sell_buy_asymmetry,sell_n_calls,1,1,False,
Industrials,Set B,LLM,sell_buy_asymmetry,sell_base_rate,4,0,False,
Industrials,Set B,FinBERT,sell_buy_asymmetry,buy_accuracy,4,,True,n_calls=4 < 10
Industrials,Set B,FinBERT,sell_buy_asymmetry,buy_n_calls,4,4,False,
Industrials,Set B,FinBERT,sell_buy_asymmetry,buy_base_rate,4,0,False,
Industrials,Set B,FinBERT,sell_buy_asymmetry,sell_accuracy,0,,True,n_calls=0 < 10
Industrials,Set B,FinBERT,sell_buy_asymmetry,sell_n_calls,0,0,False,
Industrials,Set B,FinBERT,sell_buy_asymmetry,sell_base_rate,4,0,False,
Materials,Set A,LLM,spearman_rho,rho,3,,True,n=3 < 10
Materials,Set A,LLM,spearman_rho,p_value,3,,True,n=3 < 10
Materials,Set A,LLM,spearman_rho,n,3,3,False,
Materials,Set A,LLM,calibration,mean_score,3,-0.0766667,False,
Materials,Set A,LLM,calibration,mean_ret,3,-0.003728,False,
Materials,Set A,LLM,calibration,n,3,3,False,
Materials,Set A,LLM,dispersion,score_std,3,0.126579,False,population std
Materials,Set A,LLM,dispersion,hold_rate,3,0.333333,False,
Materials,Set A,LLM,dispersion,n,3,3,False,
Materials,Set A,LLM,sell_buy_asymmetry,buy_accuracy,0,,True,n_calls=0 < 10
Materials,Set A,LLM,sell_buy_asymmetry,buy_n_calls,0,0,False,
Materials,Set A,LLM,sell_buy_asymmetry,buy_base_rate,3,0,False,
Materials,Set A,LLM,sell_buy_asymmetry,sell_accuracy,2,,True,n_calls=2 < 10
Materials,Set A,LLM,sell_buy_asymmetry,sell_n_calls,2,2,False,
Materials,Set A,LLM,sell_buy_asymmetry,sell_base_rate,3,0,False,
Materials,Set B,LLM,spearman_rho,rho,3,,True,n=3 < 10
Materials,Set B,LLM,spearman_rho,p_value,3,,True,n=3 < 10
Materials,Set B,LLM,spearman_rho,n,3,3,False,
Materials,Set B,FinBERT,spearman_rho,rho,3,,True,n=3 < 10
Materials,Set B,FinBERT,spearman_rho,p_value,3,,True,n=3 < 10
Materials,Set B,FinBERT,spearman_rho,n,3,3,False,
Materials,Set B,LLM,calibration,mean_score,3,0.0166667,False,
Materials,Set B,LLM,calibration,mean_ret,3,-0.0454667,False,
Materials,Set B,LLM,calibration,n,3,3,False,
Materials,Set B,FinBERT,calibration,mean_score,3,0.130491,False,
Materials,Set B,FinBERT,calibration,mean_ret,3,-0.0454667,False,
Materials,Set B,FinBERT,calibration,n,3,3,False,
Materials,Set B,LLM,dispersion,score_std,3,0.302141,False,population std
Materials,Set B,LLM,dispersion,hold_rate,3,0.666667,False,
Materials,Set B,LLM,dispersion,n,3,3,False,
Materials,Set B,FinBERT,dispersion,score_std,3,0.0260925,False,population std
Materials,Set B,FinBERT,dispersion,hold_rate,3,0,False,
Materials,Set B,FinBERT,dispersion,n,3,3,False,
Materials,Set B,LLM,sell_buy_asymmetry,buy_accuracy,0,,True,n_calls=0 < 10
Materials,Set B,LLM,sell_buy_asymmetry,buy_n_calls,0,0,False,
Materials,Set B,LLM,sell_buy_asymmetry,buy_base_rate,3,0,False,
Materials,Set B,LLM,sell_buy_asymmetry,sell_accuracy,1,,True,n_calls=1 < 10
Materials,Set B,LLM,sell_buy_asymmetry,sell_n_calls,1,1,False,
Materials,Set B,LLM,sell_buy_asymmetry,sell_base_rate,3,0.666667,False,
Materials,Set B,FinBERT,sell_buy_asymmetry,buy_accuracy,3,,True,n_calls=3 < 10
Materials,Set B,FinBERT,sell_buy_asymmetry,buy_n_calls,3,3,False,
Materials,Set B,FinBERT,sell_buy_asymmetry,buy_base_rate,3,0,False,
Materials,Set B,FinBERT,sell_buy_asymmetry,sell_accuracy,0,,True,n_calls=0 < 10
Materials,Set B,FinBERT,sell_buy_asymmetry,sell_n_calls,0,0,False,
Materials,Set B,FinBERT,sell_buy_asymmetry,sell_base_rate,3,0.666667,False,
Technology,Set A,LLM,spearman_rho,rho,36,0.267699,False,
Technology,Set A,LLM,spearman_rho,p_value,36,0.105218,False,
Technology,Set A,LLM,spearman_rho,n,36,36,False,
Technology,Set A,LLM,calibration,mean_score,36,0.269583,False,
Technology,Set A,LLM,calibration,mean_ret,36,0.00532992,False,
Technology,Set A,LLM,calibration,n,36,36,False,
Technology,Set A,LLM,dispersion,score_std,36,0.153298,False,population std
Technology,Set A,LLM,dispersion,hold_rate,36,0.305556,False,
Technology,Set A,LLM,dispersion,n,36,36,False,
Technology,Set A,LLM,sell_buy_asymmetry,buy_accuracy,24,0.5,False,
Technology,Set A,LLM,sell_buy_asymmetry,buy_n_calls,24,24,False,
Technology,Set A,LLM,sell_buy_asymmetry,buy_base_rate,36,0.388889,False,
Technology,Set A,LLM,sell_buy_asymmetry,sell_accuracy,1,,True,n_calls=1 < 10
Technology,Set A,LLM,sell_buy_asymmetry,sell_n_calls,1,1,False,
Technology,Set A,LLM,sell_buy_asymmetry,sell_base_rate,36,0.472222,False,
Technology,Set B,LLM,spearman_rho,rho,18,0.448579,False,
Technology,Set B,LLM,spearman_rho,p_value,18,0.0446812,False,
Technology,Set B,LLM,spearman_rho,n,18,18,False,
Technology,Set B,FinBERT,spearman_rho,rho,18,-0.0505676,False,
Technology,Set B,FinBERT,spearman_rho,p_value,18,0.839503,False,
Technology,Set B,FinBERT,spearman_rho,n,18,18,False,
Technology,Set B,LLM,calibration,mean_score,18,0.170694,False,
Technology,Set B,LLM,calibration,mean_ret,18,0.0268278,False,
Technology,Set B,LLM,calibration,n,18,18,False,
Technology,Set B,FinBERT,calibration,mean_score,18,0.112057,False,
Technology,Set B,FinBERT,calibration,mean_ret,18,0.0268278,False,
Technology,Set B,FinBERT,calibration,n,18,18,False,
Technology,Set B,LLM,dispersion,score_std,18,0.143966,False,population std
Technology,Set B,LLM,dispersion,hold_rate,18,0.555556,False,
Technology,Set B,LLM,dispersion,n,18,18,False,
Technology,Set B,FinBERT,dispersion,score_std,18,0.124138,False,population std
Technology,Set B,FinBERT,dispersion,hold_rate,18,0.333333,False,
Technology,Set B,FinBERT,dispersion,n,18,18,False,
Technology,Set B,LLM,sell_buy_asymmetry,buy_accuracy,7,,True,n_calls=7 < 10
Technology,Set B,LLM,sell_buy_asymmetry,buy_n_calls,7,7,False,
Technology,Set B,LLM,sell_buy_asymmetry,buy_base_rate,18,0.444444,False,
Technology,Set B,LLM,sell_buy_asymmetry,sell_accuracy,1,,True,n_calls=1 < 10
Technology,Set B,LLM,sell_buy_asymmetry,sell_n_calls,1,1,False,
Technology,Set B,LLM,sell_buy_asymmetry,sell_base_rate,18,0.388889,False,
Technology,Set B,FinBERT,sell_buy_asymmetry,buy_accuracy,11,0.545455,False,
Technology,Set B,FinBERT,sell_buy_asymmetry,buy_n_calls,11,11,False,
Technology,Set B,FinBERT,sell_buy_asymmetry,buy_base_rate,18,0.444444,False,
Technology,Set B,FinBERT,sell_buy_asymmetry,sell_accuracy,1,,True,n_calls=1 < 10
Technology,Set B,FinBERT,sell_buy_asymmetry,sell_n_calls,1,1,False,
Technology,Set B,FinBERT,sell_buy_asymmetry,sell_base_rate,18,0.388889,False,
Utilities,Set B,LLM,spearman_rho,rho,13,-0.123967,False,
Utilities,Set B,LLM,spearman_rho,p_value,13,0.678618,False,
Utilities,Set B,LLM,spearman_rho,n,13,13,False,
