statistic,value,n,definition,event_set,convention,test,source_files
direction_human_sell_vs_50pct_p,0.017,23,,N=76 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.5",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_sell_vs_base_rate_p,0.069,23,vs overall negative rate = 0.5658,N=76 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.5658",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_buy_accuracy,0.5556,36,llm BUY accuracy (fraction correct among BUY calls),N=76 events where both arms called BUY or SELL (direction-only),"sign accuracy, no band filter",,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_buy_correct,20/36,36,,N=76 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_buy_vs_50pct_p,0.309,36,,N=76 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.5",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_buy_vs_base_rate_p,0.097,36,vs overall positive rate = 0.4342,N=76 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.4342",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_sell_accuracy,0.6500,40,llm SELL accuracy (fraction correct among SELL calls),N=76 events where both arms called BUY or SELL (direction-only),"sign accuracy, no band filter",,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_sell_correct,26/40,40,,N=76 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_sell_vs_50pct_p,0.040,40,,N=76 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.5",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_sell_vs_base_rate_p,0.180,40,vs overall negative rate = 0.5658,N=76 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.5658",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_n,34,34,Events with repricing_basis_class == fact_based,N=34 fact_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_human_graded,12,20,human graded in fact_based subset,N=34 fact_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_human_correct,5,12,,N=34 fact_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_human_accuracy,0.4167,12,human accuracy in fact_based subset,N=34 fact_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_llm_graded,9,19,llm graded in fact_based subset,N=34 fact_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_llm_correct,8,9,,N=34 fact_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_llm_accuracy,0.8889,9,llm accuracy in fact_based subset,N=34 fact_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_paired_graded_n,7,7,Events where both arms traded + |ret|>2% in fact_based,N=34 fact_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_paired_llm_accuracy,0.8571,7,,N=34 fact_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_paired_human_accuracy,0.4286,7,,N=34 fact_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_paired_diff_pp,42.9,7,,N=34 fact_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_paired_p_value,0.203,7,,N=34 fact_based events,,bootstrap paired,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_paired_mde_pp,52,7,,N=34 fact_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_n,64,64,Events with repricing_basis_class == price_based,N=64 price_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_human_graded,39,53,human graded in price_based subset,N=64 price_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_human_correct,27,39,,N=64 price_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_human_accuracy,0.6923,39,human accuracy in price_based subset,N=64 price_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_llm_graded,29,35,llm graded in price_based subset,N=64 price_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_llm_correct,16,29,,N=64 price_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_llm_accuracy,0.5517,29,llm accuracy in price_based subset,N=64 price_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_paired_graded_n,27,27,Events where both arms traded + |ret|>2% in price_based,N=64 price_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_paired_llm_accuracy,0.5556,27,,N=64 price_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_paired_human_accuracy,0.6667,27,,N=64 price_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_paired_diff_pp,-11.1,27,,N=64 price_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_paired_p_value,0.334,27,,N=64 price_based events,,bootstrap paired,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_paired_mde_pp,37,27,,N=64 price_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
