issuer,document_id,report_date,doc_type,source_url,status,note
bank_of_america,BAC_FQ2_2023,2023-07-18,Press Release,https://www.sec.gov/Archives/edgar/data/70858/000007085823000166/bac06302023ex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ2_2023,2023-07-18,Earnings Presentation,https://www.sec.gov/Archives/edgar/data/70858/000007085823000166/bac06302023ex992.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ2_2023,2023-07-18,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/07/18/bank-of-america-bac-q2-2023-earnings-call-transcri/,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ3_2023,2023-10-17,Press Release,https://www.sec.gov/Archives/edgar/data/70858/000007085823000264/bac09302023ex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ3_2023,2023-10-17,Earnings Presentation,https://www.sec.gov/Archives/edgar/data/70858/000007085823000264/bac09302023ex992.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ3_2023,2023-10-17,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/10/17/bank-of-america-bac-q3-2023-earnings-call-transcri/,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ4_2023,2024-01-12,Press Release,https://www.sec.gov/Archives/edgar/data/70858/000007085824000011/bac12312023ex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ4_2023,2024-01-12,Earnings Presentation,https://www.sec.gov/Archives/edgar/data/70858/000007085824000011/bac12312023ex992.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ4_2023,2024-01-12,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/01/12/bank-of-america-bac-q4-2023-earnings-call-transcri/,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ1_2024,2024-04-16,Press Release,https://www.sec.gov/Archives/edgar/data/70858/000007085824000144/bac03312024ex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ1_2024,2024-04-16,Earnings Presentation,https://www.sec.gov/Archives/edgar/data/70858/000007085824000144/bac03312024ex992.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ1_2024,2024-04-16,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/04/16/bank-of-america-bac-q1-2024-earnings-call-transcri/,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ2_2024,2024-07-16,Press Release,https://www.sec.gov/Archives/edgar/data/70858/000007085824000186/bac06302024ex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ2_2024,2024-07-16,Earnings Presentation,https://www.sec.gov/Archives/edgar/data/70858/000007085824000186/bac06302024ex992.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ2_2024,2024-07-16,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/07/16/bank-of-america-bac-q2-2024-earnings-call-transcri/,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ3_2024,2024-10-15,Press Release,https://www.sec.gov/Archives/edgar/data/70858/000007085824000266/bac09302024ex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ3_2024,2024-10-15,Earnings Presentation,https://www.sec.gov/Archives/edgar/data/70858/000007085824000266/bac09302024ex992.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ3_2024,2024-10-15,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/10/15/bank-of-america-bac-q3-2024-earnings-call-transcri/,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ4_2024,2025-01-16,Press Release,https://www.sec.gov/Archives/edgar/data/70858/000007085825000011/bac12312024ex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ4_2024,2025-01-16,Earnings Presentation,https://www.sec.gov/Archives/edgar/data/70858/000007085825000011/bac12312024ex992.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ4_2024,2025-01-16,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2025/01/16/bank-of-america-bac-q4-2024-earnings-call-transcri/,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ4_2022,2023-01-25,Press Release,"https://s2.q4cdn.com/661678649/files/doc_financials/2022/q4/ (stray download, prior session)",verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ4_2022,2023-01-25,Earnings Presentation,https://s2.q4cdn.com/661678649/files/doc_financials/2022/q4/4Q22-Presentation.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ4_2022,2023-01-25,Earnings Call Transcript,https://s2.q4cdn.com/661678649/files/doc_financials/2022/q4/4Q22-_-Boeing-Earnings-Call-Transcript.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ1_2023,2023-04-26,Press Release,https://www.sec.gov/Archives/edgar/data/12927/000001292723000026/a202303mar318kprex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ1_2023,2023-04-26,Earnings Presentation,https://s2.q4cdn.com/661678649/files/doc_financials/2023/q1/1Q23-Earnings-Presentation.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ1_2023,2023-04-26,Earnings Call Transcript,https://s2.q4cdn.com/661678649/files/doc_financials/2023/q1/1Q23-Earnings-Call-Transcript.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ2_2023,2023-07-26,Press Release,https://www.sec.gov/Archives/edgar/data/12927/000001292723000045/a202306jun308kprex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ2_2023,2023-07-26,Earnings Presentation,https://s2.q4cdn.com/661678649/files/doc_financials/2023/q2/2Q23-Presentation.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ2_2023,2023-07-26,Earnings Call Transcript,https://s2.q4cdn.com/661678649/files/doc_financials/2023/q2/2Q23-Earnings-Call-Transcript.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ3_2023,2023-10-25,Press Release,https://www.sec.gov/Archives/edgar/data/12927/000001292723000059/a202309sep308kprex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ3_2023,2023-10-25,Earnings Presentation,https://s2.q4cdn.com/661678649/files/doc_financials/2023/q3/3Q23-Presentation.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ3_2023,2023-10-25,Earnings Call Transcript,https://s2.q4cdn.com/661678649/files/doc_financials/2023/q3/3Q23-Earnings-Call-Transcript.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ4_2023,2024-01-31,Press Release,https://www.sec.gov/Archives/edgar/data/12927/000001292724000007/a202312dec318kprex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ4_2023,2024-01-31,Earnings Presentation,https://s2.q4cdn.com/661678649/files/doc_financials/2023/q4/Q423-Earnings-Presentation.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ4_2023,2024-01-31,Earnings Call Transcript,https://s2.q4cdn.com/661678649/files/doc_financials/2023/q4/4q23-earnings-call-transcript-r1.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ1_2024,2024-04-24,Press Release,https://www.sec.gov/Archives/edgar/data/12927/000001292724000022/a202403mar318kprex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ1_2024,2024-04-24,Earnings Presentation,https://s2.q4cdn.com/661678649/files/doc_financials/2024/q1/1Q24-Earnings-Presentation.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ1_2024,2024-04-24,Earnings Call Transcript,https://s2.q4cdn.com/661678649/files/doc_financials/2024/q1/1Q24-Earnings-Call-Transcript.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ2_2024,2024-07-31,Press Release,https://www.sec.gov/Archives/edgar/data/12927/000001292724000051/a202406jun308kprex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ2_2024,2024-07-31,Earnings Presentation,https://s2.q4cdn.com/661678649/files/doc_financials/2024/q2/2Q24-Earnings-Presentation.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ2_2024,2024-07-31,Earnings Call Transcript,https://s2.q4cdn.com/661678649/files/doc_financials/2024/q2/2Q24-Boeing-Earnings-Call-Transcript.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ3_2024,2024-10-23,Press Release,https://www.sec.gov/Archives/edgar/data/12927/000001292724000079/a202409sep308kprex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ3_2024,2024-10-23,Earnings Presentation,https://s2.q4cdn.com/661678649/files/doc_financials/2024/q3/3Q24-Presentation.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ3_2024,2024-10-23,Earnings Call Transcript,https://s2.q4cdn.com/661678649/files/doc_financials/2024/q3/3Q24-Boeing-Earnings-Call-Transcript.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ4_2024,2025-01-28,Press Release,https://www.sec.gov/Archives/edgar/data/12927/000001292725000010/a202412dec318kprex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ4_2024,2025-01-28,Earnings Presentation,https://s2.q4cdn.com/661678649/files/doc_financials/2024/q4/4Q24-Presentation.pdf,verified,extract_doc_text verified: extracts and contains correct year token
boeing,BA_FQ4_2024,2025-01-28,Earnings Call Transcript,https://s2.q4cdn.com/661678649/files/doc_financials/2024/q4/Updated/Boeing-4Q24-Earnings-Call-Transcript.pdf,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ4_2022,2022-11-08,Press Release,https://www.sec.gov/Archives/edgar/data/1744489/000174448922000192/fy2022_q4xprxex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ4_2022,2022-11-08,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/11/08/walt-disney-dis-q4-2022-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ1_2023,2023-02-08,Press Release,https://www.sec.gov/Archives/edgar/data/1744489/000174448923000047/fy2023_q1xprxex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ1_2023,2023-02-08,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/02/08/walt-disney-dis-q1-2023-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ2_2023,2023-05-10,Press Release,https://www.sec.gov/Archives/edgar/data/1744489/000174448923000097/fy2023_q2xprxex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ2_2023,2023-05-10,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/05/10/walt-disney-dis-q2-2023-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ3_2023,2023-08-09,Press Release,https://www.sec.gov/Archives/edgar/data/1744489/000174448923000169/fy2023_q3xprxex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ3_2023,2023-08-09,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/08/09/walt-disney-dis-q3-2023-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ4_2023,2023-11-08,Press Release,https://www.sec.gov/Archives/edgar/data/1744489/000174448923000213/fy2023_q4xprxex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ4_2023,2023-11-08,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/11/08/walt-disney-dis-q4-2023-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ1_2024,2024-02-07,Press Release,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000079/fy2024_q1xprxex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ1_2024,2024-02-07,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/02/07/walt-disney-dis-q1-2024-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ2_2024,2024-05-07,Press Release,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000149/fy2024_q2xprxex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ2_2024,2024-05-07,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/05/07/walt-disney-dis-q2-2024-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ3_2024,2024-08-07,Press Release,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000231/fy2024_q3xprxex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ3_2024,2024-08-07,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/08/07/walt-disney-dis-q3-2024-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ4_2024,2024-11-14,Press Release,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000275/fy2024_q4xprxex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
disney,DIS_FQ4_2024,2024-11-14,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/11/14/walt-disney-dis-q4-2024-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ4_2022,2023-02-28,Press Release,https://www.sec.gov/Archives/edgar/data/27419/ (8-K filed 2023-02-28) a2022q4ex-99.htm,verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ4_2022,2023-02-28,Earnings Call Transcript,"stray download from prior session (Motley Fool, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ1_2023,2023-05-17,Press Release,https://www.sec.gov/Archives/edgar/data/27419/ (8-K filed 2023-05-17) a2023q1ex-99.htm,verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ1_2023,2023-05-17,Earnings Call Transcript,"stray download from prior session (Motley Fool, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ2_2023,2023-08-16,Press Release,https://www.sec.gov/Archives/edgar/data/27419/ (8-K filed 2023-08-16) a2023q2ex-99.htm,verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ2_2023,2023-08-16,Earnings Call Transcript,"stray download from prior session (Motley Fool, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ3_2023,2023-11-15,Press Release,https://www.sec.gov/Archives/edgar/data/27419/ (8-K filed 2023-11-15) a2023q3ex-99.htm,verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ3_2023,2023-11-15,Earnings Call Transcript,"stray download from prior session (Motley Fool, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ4_2023,2024-03-05,Press Release,https://www.sec.gov/Archives/edgar/data/27419/000002741924000008/a2023q4ex-99.htm,verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ4_2023,2024-03-05,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/03/05/target-tgt-q4-2023-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ1_2024,2024-05-22,Press Release,https://www.sec.gov/Archives/edgar/data/27419/000002741924000126/a2024q1ex-99.htm,verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ1_2024,2024-05-22,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/05/22/target-tgt-q1-2024-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ2_2024,2024-08-21,Press Release,https://www.sec.gov/Archives/edgar/data/27419/000002741924000142/a2024q2ex-99.htm,verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ2_2024,2024-08-21,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/08/21/target-tgt-q2-2024-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ3_2024,2024-11-20,Press Release,https://www.sec.gov/Archives/edgar/data/27419/000002741924000177/a2024q3ex-99.htm,verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ3_2024,2024-11-20,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/11/20/target-tgt-q3-2024-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ4_2024,2025-03-04,Press Release,https://www.sec.gov/Archives/edgar/data/27419/000002741925000008/a2024q4ex-99.htm,verified,extract_doc_text verified: extracts and contains correct year token
target,TGT_FQ4_2024,2025-03-04,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2025/03/04/target-tgt-q4-2024-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
netflix,NFLX_FQ4_2022,2023-01-19,Earnings Call Transcript,"stray download from prior session (Motley Fool Q4 2022 transcript, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
netflix,NFLX_FQ1_2023,2023-04-18,Earnings Call Transcript,https://www.insidermonkey.com/blog/netflix-inc-nasdaqnflx-q1-2023-earnings-call-transcript-1141953/,verified,extract_doc_text verified: extracts and contains correct year token
netflix,NFLX_FQ2_2023,2023-07-19,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/07/19/netflix-nflx-q2-2023-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
netflix,NFLX_FQ3_2023,2023-10-18,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/10/18/netflix-nflx-q3-2023-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
netflix,NFLX_FQ4_2023,2024-01-23,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/01/23/netflix-nflx-q4-2023-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
netflix,NFLX_FQ1_2024,2024-04-18,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/04/18/netflix-nflx-q1-2024-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
netflix,NFLX_FQ2_2024,2024-07-18,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/07/18/netflix-nflx-q2-2024-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
netflix,NFLX_FQ3_2024,2024-10-17,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/10/17/netflix-nflx-q3-2024-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
netflix,NFLX_FQ4_2024,2025-01-21,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2025/01/21/netflix-nflx-q4-2024-earnings-call-transcript/,verified,extract_doc_text verified: extracts and contains correct year token
